geoid,Zip,Total,Male,M 0-4,M 5-9,M 10-14,M 15-17,M 18-19,M 20,M 21,M 22-24,M 25-29,M 20-34,M 34-39,M 40-44,M 45-49,M 50-54,M 55-59,M 60-61,M 62-64,M 65-66,M 67-69,M 10-74,M 75-79,M 80-84,M 85+,Female,F 0-4,F 5-9,F 10-14,F 15-17,F 18-19,F 20,F 21,F 22-24,F 25-29,F 20-34,F 34-39,F 40-44,F 45-49,F 50-54,F 55-59,F 60-61,F 62-64,F 65-66,F 67-69,F 10-74,F 75-79,F 80-84,F 85+
86000US89010,89010,487,212,5,5,19,9,0,4,0,0,2,9,6,29,13,4,11,10,10,6,29,14,7,5,15,275,12,23,30,0,0,0,11,0,5,12,40,0,23,8,13,22,4,19,22,4,9,5,13
86000US89019,89019,2376,1192,56,0,0,33,4,0,0,98,159,48,19,0,41,51,313,99,84,14,94,35,44,0,0,1184,87,173,89,0,16,0,0,7,95,99,28,15,23,180,64,31,7,117,14,125,0,0,14
86000US89046,89046,316,159,2,14,0,0,1,0,0,13,0,11,0,7,10,11,13,0,0,4,6,42,10,5,10,157,0,6,0,0,0,0,0,0,0,15,0,0,0,27,15,19,0,5,41,0,7,17,5
86000US89060,89060,9042,4873,240,176,105,97,14,22,54,186,380,137,226,130,282,368,647,114,315,176,245,387,303,211,58,4169,148,150,120,53,0,29,0,94,198,121,85,203,183,311,487,201,231,234,333,304,316,163,205
86000US89061,89061,5828,2858,50,140,232,54,24,0,1,23,59,160,66,167,76,265,160,98,173,131,191,317,344,68,59,2970,92,163,101,56,13,0,0,44,44,121,116,165,55,162,227,114,206,160,198,629,168,73,63
86000US89439,89439,1355,621,35,15,0,0,0,14,15,12,0,112,30,0,16,26,57,34,68,64,24,38,40,0,21,734,0,52,51,0,4,0,0,31,31,51,16,51,0,39,113,23,117,0,26,70,59,0,0
86000US90001,90001,58975,30349,2630,2882,2614,1586,1169,570,412,1455,2361,2397,1801,2051,2039,1715,1713,449,648,331,322,507,245,236,216,28626,2416,2509,2439,1414,851,487,593,1475,2357,2136,1963,1884,1474,1802,1522,553,511,232,605,561,398,154,290
86000US90002,90002,53111,25518,2560,2450,2361,1565,768,425,510,1304,2075,1599,1653,1727,1743,1481,953,402,521,244,363,391,234,109,80,27593,2218,2216,2384,1668,1091,505,359,1748,2299,1562,2098,1862,1984,1425,1262,520,508,279,378,449,329,197,252
86000US90003,90003,72741,35361,3242,3391,3271,2179,1049,619,428,1605,3215,2724,2633,1925,2226,2147,1382,684,758,486,407,465,313,85,127,37380,3446,3126,2825,2030,1103,900,572,1780,3195,2896,2819,2465,2349,2218,2025,534,810,344,388,586,424,172,373
86000US90004,90004,61586,30602,1649,1344,1727,1028,792,299,462,1356,3212,3696,2720,2522,2297,1941,1510,797,715,361,699,658,298,320,199,30984,1778,1887,1821,899,546,425,349,1353,3097,3087,2286,2209,2136,2035,1783,818,734,591,724,839,682,463,442
86000US90005,90005,39479,19602,1188,1103,851,359,429,279,172,862,2443,2112,1598,1981,1407,1113,1067,341,367,360,321,462,385,185,217,19877,1145,1148,951,444,357,118,143,997,2558,1527,1383,1714,1238,1327,1084,445,476,295,522,856,463,301,385
86000US90006,90006,61698,30450,2024,2286,1745,1221,827,401,371,1403,3053,3201,2448,1970,1969,2182,1533,584,707,442,527,729,343,250,234,31248,2122,2410,1844,1235,856,397,301,1490,3041,2518,2299,1874,1765,1904,1864,639,983,621,677,759,796,299,554
86000US90007,90007,41716,21129,874,852,864,562,1749,1434,1703,2943,2642,1463,1005,758,701,676,830,234,413,220,440,318,222,140,86,20587,462,790,864,497,2219,1527,1428,2649,2113,1027,773,790,902,815,912,271,410,336,326,451,371,261,393
86000US90008,90008,31739,14018,560,651,890,690,292,290,167,718,982,959,967,897,983,1224,892,482,425,312,400,414,253,418,152,17721,935,530,832,450,426,130,245,784,1122,1184,961,1386,1172,1412,1493,703,699,427,637,755,621,325,492
86000US90010,90010,3702,1857,18,132,21,7,3,38,8,93,317,234,104,125,84,104,142,65,49,60,27,108,109,0,9,1845,25,93,10,22,61,32,0,104,250,176,201,74,65,102,176,68,41,46,37,147,39,21,55
