geoid,Zip,Total,0-10K,10-14K,15-19K,20-24K,25-29K,30-34K,35-39K,40-44K,45-49K,50-59K,60-74K,75-99K,100-124K,125-149K,150-199K,200K+
86000US89010,89010,183,0,8,8,14,20,20,7,10,15,18,16,19,19,5,0,4
86000US89019,89019,946,13,76,92,75,59,7,118,6,81,57,99,140,0,29,29,65
86000US89046,89046,197,0,23,8,0,53,25,5,16,0,27,29,0,0,0,0,11
86000US89060,89060,3925,288,361,202,335,357,282,165,204,180,393,272,439,278,123,35,11
86000US89061,89061,2587,89,155,77,71,234,69,85,67,179,446,356,345,194,82,117,21
86000US89439,89439,656,17,15,16,0,15,82,55,51,16,89,37,44,120,38,18,43
86000US90001,90001,13815,1185,932,898,1138,947,997,1234,712,513,1246,1188,1335,718,425,241,106
86000US90002,90002,12706,1213,1504,1012,939,913,703,883,646,595,763,1190,1057,604,351,271,62
86000US90003,90003,17127,1781,1541,1317,1355,1059,1060,885,1167,836,1247,1566,1593,913,421,309,77
86000US90004,90004,21971,1230,1232,1088,1465,1433,1030,1310,1316,1167,1766,2223,2107,1276,823,755,1750
86000US90005,90005,16442,1311,1887,1190,1359,1266,1172,973,817,766,1260,1496,1236,577,334,360,438
86000US90006,90006,19419,1424,1512,1977,1448,1700,1534,1443,1188,910,1505,1653,1353,705,447,403,217
86000US90007,90007,11884,2504,1558,961,882,776,551,574,391,328,729,797,973,263,274,161,162
86000US90008,90008,14834,1543,1681,962,1066,640,733,803,682,553,1113,1019,1165,1060,554,643,617
86000US90010,90010,1961,155,94,89,203,56,136,28,81,43,60,273,196,246,71,78,152
86000US90011,90011,24160,2039,1885,2121,1895,1704,1771,1432,1520,1221,1901,2060,2233,1058,656,427,237
86000US90012,90012,12736,1248,1764,938,746,521,511,397,442,296,715,974,1137,1043,660,624,720
86000US90013,90013,6966,1585,1449,276,441,366,165,132,84,120,128,277,440,414,352,343,394
86000US90014,90014,5496,1054,1044,248,166,107,105,140,172,54,240,326,391,408,364,363,314
86000US90015,90015,9423,1298,837,682,672,534,404,353,363,318,346,454,772,701,393,439,857
86000US90016,90016,17087,1666,1053,885,948,1155,932,643,947,758,1446,1594,2130,1112,764,541,513
86000US90017,90017,10869,1267,1498,929,819,621,746,525,532,350,449,565,842,440,333,496,457
86000US90018,90018,16426,1455,1401,1103,1135,905,886,925,837,530,1258,1518,1639,1067,585,706,476
86000US90019,90019,24756,1489,1464,1461,1379,1289,1420,1270,1088,947,2213,2021,2626,1754,1072,1346,1917
86000US90020,90020,16396,1090,941,740,1105,1028,1194,931,840,862,1797,1955,1820,839,364,389,501
86000US90021,90021,1758,479,394,141,25,91,0,31,17,33,83,104,71,24,110,76,79
86000US90022,90022,17444,1106,1326,927,1221,1100,1002,1053,1255,1041,1366,1781,1930,988,681,406,261
86000US90023,90023,11519,783,983,689,932,784,765,619,750,552,1017,1079,1152,701,338,211,164
86000US90024,90024,16737,2891,754,607,471,457,413,494,512,480,947,1103,1365,1491,779,1104,2869
86000US90025,90025,22105,1397,525,704,653,583,659,654,934,576,1231,2005,3022,2539,1669,2441,2513
86000US90026,90026,25785,1599,1424,1386,1250,1065,1232,1082,1300,729,1633,2555,3165,2327,1329,1642,2067
86000US90027,90027,21716,1354,1674,931,1169,763,783,678,992,734,1220,2152,2765,1986,1136,1487,1892
86000US90028,90028,16652,1724,1624,1182,841,788,837,642,803,430,1546,1698,1492,1265,592,519,669
86000US90029,90029,14018,982,1429,933,1014,1127,885,687,609,601,1176,1349,1380,795,366,323,362
86000US90031,90031,11621,900,735,887,701,673,741,743,493,431,987,1119,1274,549,625,400,363
86000US90032,90032,13470,822,724,796,918,738,671,689,697,557,1096,1305,1559,1144,566,690,498
86000US90033,90033,13236,1134,1483,1218,997,939,739,779,652,650,1124,1046,1104,656,306,175,234
86000US90034,90034,25878,1731,578,633,1109,826,906,797,1291,1219,1856,2709,4089,2325,1736,1848,2225
86000US90035,90035,12329,877,535,234,529,422,405,257,411,309,696,1232,1424,1129,872,1031,1966
86000US90036,90036,18426,1235,577,405,640,393,653,587,569,401,1112,2117,1968,1862,1323,1922,2662
86000US90037,90037,17334,1541,2276,1472,1463,1046,1160,1099,1137,855,1216,1333,1112,820,323,324,157
86000US90038,90038,11601,1102,926,976,881,698,653,566,490,314,969,1103,1227,644,365,310,377
86000US90039,90039,11413,407,471,329,479,276,324,419,306,274,744,958,1596,1163,982,957,1728
86000US90040,90040,3512,250,249,169,189,150,280,212,200,209,248,304,445,304,178,98,27
86000US90041,90041,9724,490,436,374,352,277,364,257,275,378,635,879,977,993,695,1220,1122
86000US90042,90042,20622,1042,867,993,1141,820,840,956,979,1026,1694,2193,2283,1973,1216,1332,1267
86000US90043,90043,17066,1743,1939,922,870,769,910,516,626,373,1337,1189,1481,1238,1000,1056,1097
86000US90044,90044,28160,3018,3480,1797,2240,1771,2015,1477,1462,1122,2024,2247,2449,1636,623,507,292
86000US90045,90045,15514,728,392,311,704,549,559,305,506,209,658,1183,1918,1387,1407,1800,2898
86000US90046,90046,29183,1967,2062,1201,1220,864,1315,992,1117,604,1799,2681,3234,2375,1830,1882,4040
86000US90047,90047,17420,1837,1651,716,1014,780,970,480,933,542,1119,1707,2095,1540,1026,637,373
86000US90048,90048,12054,593,307,270,316,367,245,201,262,200,839,1121,1641,1374,999,1026,2293
86000US90049,90049,16647,859,304,285,296,305,358,246,319,210,720,997,1783,1497,1321,1611,5536
86000US90056,90056,3374,256,85,86,161,37,36,61,117,162,202,291,395,305,172,312,696
86000US90057,90057,17031,1438,1966,1686,1289,1047,1275,1073,765,785,1440,1412,1560,670,344,166,115
86000US90058,90058,757,208,84,70,50,44,49,1,27,31,28,58,69,5,31,0,2
86000US90059,90059,10628,1290,989,648,706,521,512,415,578,489,898,1192,941,725,286,319,119
86000US90061,90061,7318,778,638,593,513,334,394,423,296,419,388,684,793,398,347,212,108
86000US90062,90062,9905,915,881,624,480,643,579,493,349,549,650,869,1361,720,341,275,176
86000US90063,90063,13675,700,944,751,847,896,879,718,916,602,1052,1732,1638,973,399,347,281
86000US90064,90064,10958,892,283,218,338,439,229,240,385,291,468,752,1147,864,687,1104,2621
86000US90065,90065,15337,875,727,684,601,613,721,830,551,477,1276,1248,1582,1412,1012,1229,1499
86000US90066,90066,25225,994,840,717,819,853,873,771,1136,798,1676,2529,3391,2429,1707,2053,3639
86000US90067,90067,1375,44,9,84,20,66,8,59,44,35,26,72,65,131,46,169,497
86000US90068,90068,11360,802,427,264,287,383,530,231,466,215,632,874,1276,835,755,828,2555
86000US90069,90069,12640,466,777,314,237,287,425,319,410,365,696,926,1507,1526,1026,1058,2301
86000US90071,90071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86000US90073,90073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86000US90077,90077,3276,50,44,8,28,16,29,88,18,41,98,170,278,222,157,333,1696
86000US90079,90079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86000US90089,90089,7,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
86000US90090,90090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86000US90094,90094,4345,161,185,38,9,119,69,37,65,40,207,270,252,442,346,449,1656
86000US90095,90095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86000US90201,90201,24065,1293,1381,1614,1892,1798,1614,1791,1497,1251,2336,2577,2500,1220,606,470,225
86000US90210,90210,8036,509,269,215,151,62,152,80,124,54,222,263,745,641,646,729,3174
86000US90211,90211,3805,258,148,81,145,148,87,52,181,51,261,363,374,401,194,321,740
86000US90212,90212,5934,465,263,261,208,135,80,155,82,39,316,393,734,438,351,621,1393
86000US90220,90220,13509,826,625,883,836,548,578,642,660,598,1294,1683,1784,1147,631,521,253
86000US90221,90221,12228,779,639,679,749,572,832,662,701,700,1170,1561,1448,843,339,394,160
86000US90222,90222,7985,688,677,430,436,511,587,377,241,312,570,779,1073,619,297,289,99
86000US90230,90230,13204,504,726,415,461,576,431,426,428,186,832,1131,1629,1419,993,1581,1466
86000US90232,90232,6410,392,224,152,234,77,228,187,176,231,444,584,901,591,379,589,1021
86000US90240,90240,7442,295,179,119,94,183,338,124,289,317,458,755,1190,928,570,780,823
