geoid,Zip,Total,<10,10-14,15-19,20-24,25-29,30-34,35-44,45-59,>60,Car/Truck/Van
86000US89010,89010,145,83,11,9,23,4,0,0,5,10,112
86000US89019,89019,1128,282,212,89,44,66,18,0,59,358,771
86000US89046,89046,130,79,10,10,0,0,11,0,10,10,130
86000US89060,89060,2667,400,589,640,211,171,97,4,76,479,2620
86000US89061,89061,1696,114,107,493,313,132,76,0,129,332,1618
86000US89439,89439,588,103,70,171,44,43,65,59,6,27,552
86000US90001,90001,22586,1229,1387,2731,2848,1512,5020,2220,2198,3441,18277
86000US90002,90002,18791,754,910,1727,2503,934,4518,1974,2457,3014,15600
86000US90003,90003,27281,1168,1557,2739,3026,1487,6537,2730,3041,4996,22418
86000US90004,90004,31213,1041,1863,3256,4198,1175,10110,2933,3096,3541,23892
86000US90005,90005,20096,796,1623,2051,2378,594,5533,1255,2828,3038,12696
86000US90006,90006,30300,1015,1740,3531,3182,828,8358,1955,4600,5091,18851
86000US90007,90007,15944,1462,2246,1979,1710,529,2765,1086,1602,2565,9136
86000US90008,90008,13489,392,663,1282,1891,1238,3367,1131,1464,2061,11537
86000US90010,90010,1815,35,167,309,252,148,424,150,98,232,1395
86000US90011,90011,44174,1805,4111,5510,6864,2039,9540,3465,3668,7172,32082
86000US90012,90012,12446,1275,1423,1929,1723,729,1725,1056,1034,1552,8690
86000US90013,90013,4755,397,435,589,615,289,922,208,603,697,2364
86000US90014,90014,3942,428,314,307,470,259,782,457,417,508,2206
86000US90015,90015,10725,791,1031,1133,1412,397,2267,1040,965,1689,6260
86000US90016,90016,20922,623,1354,1976,3454,1000,5630,1996,2306,2583,17863
86000US90017,90017,12550,816,1686,1718,1315,489,2007,886,1206,2427,5658
86000US90018,90018,23296,783,1659,2288,3220,1082,5677,2050,2955,3582,18778
86000US90019,90019,33185,889,2186,4219,5375,1692,7972,3473,3665,3714,27475
86000US90020,90020,20960,908,1522,2102,3376,677,6817,1416,2069,2073,15739
86000US90021,90021,1147,94,96,234,132,53,254,151,49,84,397
86000US90022,90022,27449,1584,2054,2906,4025,2747,6345,1939,2919,2930,23488
86000US90023,90023,19139,1310,2194,2418,3647,1084,3793,1068,1464,2161,15347
86000US90024,90024,18525,2347,2826,4425,2741,1095,2548,690,974,879,10827
86000US90025,90025,27436,2677,4136,4791,4748,1413,3972,2052,2306,1341,21930
86000US90026,90026,35291,1667,2920,5551,5413,1629,7003,2718,3093,5297,28001
86000US90027,90027,23316,1936,2169,2925,3244,1731,4212,1725,2629,2745,18169
86000US90028,90028,16974,1165,1875,2537,1653,820,3123,1501,2007,2293,11574
86000US90029,90029,19256,1006,1864,2485,2463,1070,3615,1369,1870,3514,12742
86000US90031,90031,17019,1078,1563,2016,2487,970,3727,1143,1313,2722,13824
86000US90032,90032,20581,1333,1568,2573,2885,1437,3651,1807,2215,3112,17666
86000US90033,90033,18563,1107,1619,1921,2771,707,3802,1667,1647,3322,14259
86000US90034,90034,33595,1414,2749,4738,7311,2094,7687,2651,3585,1366,28583
86000US90035,90035,13863,1425,1668,1982,1767,911,2902,1086,1283,839,12099
86000US90036,90036,19980,1314,2029,2555,2498,1381,4570,2269,2156,1208,17163
86000US90037,90037,25325,453,1397,2222,3335,1108,6167,2350,3194,5099,19526
86000US90038,90038,14756,416,1147,1223,1937,680,4570,1101,1767,1915,10673
86000US90039,90039,14364,531,1192,1957,2259,958,2424,1266,1829,1948,12991
86000US90040,90040,5123,439,703,535,824,350,1034,344,520,374,4650
86000US90041,90041,13600,1362,1519,1727,1411,790,2269,1213,1590,1719,11719
86000US90042,90042,30266,1715,2858,3669,3957,1678,5750,2602,3611,4426,25671
86000US90043,90043,18311,255,792,1827,2121,1205,5147,1752,2892,2320,15946
