geoid,Zip,Total,Owned,Rent
86000US89010,89010,183,106,77
86000US89019,89019,946,633,313
86000US89046,89046,197,131,66
86000US89060,89060,3925,2985,940
86000US89061,89061,2587,2225,362
86000US89439,89439,656,503,153
86000US90001,90001,13815,4966,8849
86000US90002,90002,12706,4540,8166
86000US90003,90003,17127,4856,12271
86000US90004,90004,21971,3670,18301
86000US90005,90005,16442,1303,15139
86000US90006,90006,19419,1708,17711
86000US90007,90007,11884,1344,10540
86000US90008,90008,14834,5004,9830
86000US90010,90010,1961,420,1541
86000US90011,90011,24160,6213,17947
86000US90012,90012,12736,1307,11429
86000US90013,90013,6966,607,6359
86000US90014,90014,5496,170,5326
86000US90015,90015,9423,1236,8187
86000US90016,90016,17087,6515,10572
86000US90017,90017,10869,435,10434
86000US90018,90018,16426,4996,11430
86000US90019,90019,24756,6951,17805
86000US90020,90020,16396,1483,14913
86000US90021,90021,1758,160,1598
86000US90022,90022,17444,5724,11720
86000US90023,90023,11519,3159,8360
86000US90024,90024,16737,5140,11597
86000US90025,90025,22105,5881,16224
86000US90026,90026,25785,6161,19624
86000US90027,90027,21716,4051,17665
86000US90028,90028,16652,784,15868
86000US90029,90029,14018,1303,12715
86000US90031,90031,11621,3739,7882
86000US90032,90032,13470,6741,6729
86000US90033,90033,13236,2403,10833
86000US90034,90034,25878,4985,20893
86000US90035,90035,12329,4027,8302
86000US90036,90036,18426,3269,15157
86000US90037,90037,17334,4120,13214
86000US90038,90038,11601,1023,10578
86000US90039,90039,11413,5152,6261
86000US90040,90040,3512,1619,1893
86000US90041,90041,9724,5135,4589
86000US90042,90042,20622,9098,11524
86000US90043,90043,17066,9171,7895
86000US90044,90044,28160,8049,20111
86000US90045,90045,15514,8041,7473
86000US90046,90046,29183,6346,22837
86000US90047,90047,17420,9719,7701
86000US90048,90048,12054,3674,8380
86000US90049,90049,16647,8498,8149
86000US90056,90056,3374,2251,1123
86000US90057,90057,17031,608,16423
86000US90058,90058,757,80,677
86000US90059,90059,10628,4898,5730
86000US90061,90061,7318,3009,4309
86000US90062,90062,9905,4295,5610
86000US90063,90063,13675,5482,8193
86000US90064,90064,10958,6159,4799
86000US90065,90065,15337,7386,7951
86000US90066,90066,25225,9387,15838
86000US90067,90067,1375,1132,243
86000US90068,90068,11360,5549,5811
86000US90069,90069,12640,4717,7923
86000US90071,90071,0,0,0
86000US90073,90073,0,0,0
86000US90077,90077,3276,2767,509
86000US90079,90079,0,0,0
86000US90089,90089,7,0,7
86000US90090,90090,0,0,0
86000US90094,90094,4345,1643,2702
86000US90095,90095,0,0,0
86000US90201,90201,24065,5457,18608
86000US90210,90210,8036,5747,2289
86000US90211,90211,3805,1180,2625
86000US90212,90212,5934,1764,4170
86000US90220,90220,13509,7916,5593
86000US90221,90221,12228,6265,5963
86000US90222,90222,7985,3932,4053
86000US90230,90230,13204,7284,5920
86000US90232,90232,6410,2398,4012
86000US90240,90240,7442,4939,2503
86000US90241,90241,13542,5787,7755
86000US90242,90242,12203,6074,6129
86000US90245,90245,6639,2938,3701
86000US90247,90247,15886,6172,9714
86000US90248,90248,3822,2717,1105
86000US90249,90249,8784,5182,3602
86000US90250,90250,31978,9753,22225
86000US90254,90254,8979,4371,4608
86000US90255,90255,18500,6074,12426
86000US90260,90260,10509,4026,6483
86000US90262,90262,15551,6653,8898
86000US90263,90263,0,0,0
86000US90265,90265,7555,5578,1977
86000US90266,90266,13520,9450,4070
86000US90270,90270,6679,1731,4948
86000US90272,90272,9008,7278,1730
86000US90274,90274,9089,7969,1120
86000US90275,90275,15634,12204,3430
86000US90277,90277,15724,7096,8628
86000US90278,90278,15354,8890,6464
86000US90280,90280,23926,10096,13830
86000US90290,90290,2236,1745,491
86000US90291,90291,13612,4455,9157
86000US90292,90292,12381,3809,8572
86000US90293,90293,6679,3149,3530
86000US90301,90301,12136,3125,9011
86000US90302,90302,10893,3048,7845
86000US90303,90303,7144,2789,4355
86000US90304,90304,6430,1845,4585
86000US90305,90305,5946,3894,2052
86000US90401,90401,4649,340,4309
86000US90402,90402,4874,3357,1517
86000US90403,90403,12918,2976,9942
86000US90404,90404,9904,2297,7607
86000US90405,90405,14029,4698,9331
86000US90501,90501,14244,6157,8087
86000US90502,90502,6011,3849,2162
86000US90503,90503,16738,8456,8282
86000US90504,90504,11559,6991,4568
86000US90505,90505,14089,8047,6042
86000US90506,90506,0,0,0
86000US90601,90601,11097,6548,4549
86000US90602,90602,7769,3078,4691
86000US90603,90603,6659,5203,1456
86000US90604,90604,12295,8211,4084
86000US90605,90605,10388,7134,3254
86000US90606,90606,8893,5968,2925
86000US90620,90620,13091,9190,3901
86000US90621,90621,10172,4061,6111
86000US90623,90623,4952,3403,1549
86000US90630,90630,15927,10583,5344
86000US90631,90631,21332,13035,8297
86000US90638,90638,14462,11315,3147
86000US90640,90640,19290,8372,10918
86000US90650,90650,27180,17344,9836
86000US90660,90660,16666,11219,5447
86000US90670,90670,4868,3287,1581
86000US90680,90680,8659,4296,4363
86000US90701,90701,4602,2181,2421
86000US90703,90703,15553,12031,3522
86000US90704,90704,1562,451,1111
86000US90706,90706,23517,9222,14295
86000US90710,90710,9162,4805,4357
86000US90712,90712,10453,7743,2710
86000US90713,90713,9267,7562,1705
86000US90715,90715,5994,3479,2515
86000US90716,90716,3809,1562,2247
86000US90717,90717,8515,3961,4554
86000US90720,90720,7922,5042,2880
86000US90723,90723,14452,5569,8883
86000US90731,90731,22624,7108,15516
86000US90732,90732,8522,6036,2486
86000US90740,90740,12515,9453,3062
86000US90742,90742,388,126,262
86000US90743,90743,119,80,39
86000US90744,90744,14638,5444,9194
86000US90745,90745,15139,10313,4826
86000US90746,90746,8159,7023,1136
86000US90747,90747,0,0,0
86000US90755,90755,4607,2128,2479
86000US90802,90802,20749,4280,16469
86000US90803,90803,16947,7336,9611
86000US90804,90804,15066,3222,11844
86000US90805,90805,27034,11245,15789
86000US90806,90806,12821,4414,8407
86000US90807,90807,12644,6667,5977
86000US90808,90808,13967,10943,3024
86000US90810,90810,9334,5142,4192
86000US90813,90813,17148,2027,15121
86000US90814,90814,8954,3463,5491
86000US90815,90815,14459,9775,4684
86000US90822,90822,0,0,0
86000US90831,90831,0,0,0
86000US91001,91001,12745,9558,3187
86000US91006,91006,10459,7034,3425
86000US91007,91007,11617,6370,5247
86000US91008,91008,428,271,157
86000US91010,91010,8073,5152,2921
86000US91011,91011,6597,5906,691
86000US91016,91016,14354,7061,7293
86000US91020,91020,3450,1195,2255
86000US91024,91024,4603,2854,1749
86000US91030,91030,9992,4670,5322
86000US91040,91040,7263,5248,2015
86000US91042,91042,9854,5185,4669
86000US91046,91046,100,0,100
86000US91101,91101,10521,1751,8770
86000US91103,91103,8500,3957,4543
86000US91104,91104,12960,6450,6510
86000US91105,91105,5299,3135,2164
86000US91106,91106,10554,3920,6634
86000US91107,91107,12462,7567,4895
86000US91108,91108,4686,4047,639
86000US91201,91201,8311,2401,5910
